,applicationid,applicationno,agentid,updatedate,
,45950,620004616,0000005057,2019-06-15 14:51:55.386,
,45948,620004615,0000658348,2019-06-15 14:51:53.808,
,45951,620004620,0000072616,2019-06-15 14:51:53.458,
,45949,620004617,0000573403,2019-06-15 14:51:49.996,
,45947,620004614,0000628351,2019-06-15 14:51:43.883,
,45946,620004612,0000195560,2019-06-15 14:51:34.339,
,45945,620004613,0000017627,2019-06-15 14:51:29.768,
,45943,620004610,0000063555,2019-06-15 14:51:21.473,
,45944,620004611,0000528551,2019-06-15 14:51:19.106,
,45941,620004608,0000632628,2019-06-15 14:51:06.745,
,45940,620004607,0000550175,2019-06-15 14:51:05.219,
,45939,620004606,0000656809,2019-06-15 14:51:03.192,
,45938,620004605,0000642039,2019-06-15 14:37:10.925,
,45937,620004604,0000108027,2019-06-15 14:36:27.011,
,45936,620004603,0000635982,2019-06-15 14:30:46.004,
,45914,620004578,0000653699,2019-06-15 14:25:36.441,
,45912,620004575,0000221584,2019-06-15 14:25:31.616,
,45897,620004564,0000644355,2019-06-15 14:24:58.471,
,45888,620004552,0000015545,2019-06-15 13:25:47.997,
,45887,620004554,0000657361,2019-06-15 13:25:47.424,
,45885,620004551,0000017627,2019-06-15 13:25:44.921,
,45886,620004553,0000531336,2019-06-15 13:25:44.272,
,45883,620004549,0000063555,2019-06-15 13:25:41.773,
,45884,620004550,0000632628,2019-06-15 13:25:40.76,
,45882,620004548,0000508962,2019-06-15 13:23:39.761,
,45881,620004547,0000016764,2019-06-15 13:23:32.091,
,45878,620004546,0000337497,2019-06-15 13:23:25.745,
,45879,620004544,0000637425,2019-06-15 13:23:23.889,
,45876,620004542,0000108027,2019-06-15 13:23:19.686,
,45877,620004543,0000005057,2019-06-15 13:23:19.683,
,45875,620004541,0000617126,2019-06-15 13:22:53.766,
,45872,620004537,0000550175,2019-06-15 13:22:36.853,
,45873,620004539,0000003868,2019-06-15 13:22:36.612,
,45871,620004538,0000016423,2019-06-15 13:22:33.025,
,45870,620004534,0000653699,2019-06-15 13:22:31.977,
,45869,620004536,0000027292,2019-06-15 13:22:28.416,
,45867,620004533,0000628055,2019-06-15 13:22:25.968,
