"applicationid","applicationno","agentid","updatedate"
"44172","620002811","0000631335","2019-06-17 18:58:40.886"
"44361","620002998","0000631335","2019-06-17 18:58:40.884"
"44930","620003586","0000631335","2019-06-17 18:58:40.88"
"45414","620004074","0000631335","2019-06-17 18:58:40.876"
"45800","620004465","0000631335","2019-06-17 18:58:40.874"
"46562","620005240","0000631335","2019-06-17 18:58:40.867"
"47147","620005832","0000631335","2019-06-17 18:58:40.862"
"47818","620006513","0000631335","2019-06-17 18:58:40.857"
"48114","620006811","0000631335","2019-06-17 18:58:40.854"
"48311","620007009","0000631335","2019-06-17 18:58:40.852"
"48405","620007103","0000631335","2019-06-17 18:58:40.85"
"48700","620007403","0000139405","2019-06-17 18:58:40.506"
"48699","620007404","0000631335","2019-06-17 18:58:40.428"
"42576","620001180","0000098610","2019-06-17 18:58:31.753"
"44162","620002800","0000098610","2019-06-17 18:58:31.746"
"44652","620003298","0000098610","2019-06-17 18:58:31.744"
"45120","620003779","0000098610","2019-06-17 18:58:31.743"
"45990","620004657","0000098610","2019-06-17 18:58:31.739"
"46191","620004859","0000098610","2019-06-17 18:58:31.737"
"46951","620005632","0000098610","2019-06-17 18:58:31.733"
"42379","620000977","0000098610","2019-06-17 18:58:31.73"
"47724","620006417","0000098610","2019-06-17 18:58:31.728"
"47332","620006023","0000098610","2019-06-17 18:58:31.726"
"47921","620006617","0000098610","2019-06-17 18:58:31.723"
"47143","620005829","0000098610","2019-06-17 18:58:31.72"
"46563","620005241","0000098610","2019-06-17 18:58:31.717"
"45032","620003690","0000098610","2019-06-17 18:58:31.716"
"48698","620007402","0000098610","2019-06-17 18:58:31.272"
"48696","620007401","0000535956","2019-06-17 18:58:23.813"
"42492","620001095","0000531315","2019-06-17 18:58:17.241"
"43513","620002140","0000531315","2019-06-17 18:58:17.237"
"43833","620002462","0000531315","2019-06-17 18:58:17.236"
"44273","620002913","0000531315","2019-06-17 18:58:17.233"
"44550","620003194","0000531315","2019-06-17 18:58:17.231"
"44934","620003590","0000531315","2019-06-17 18:58:17.229"
"45313","620003974","0000531315","2019-06-17 18:58:17.226"
"47719","620006413","0000531315","2019-06-17 18:58:17.214"
"47914","620006610","0000531315","2019-06-17 18:58:17.211"
"48214","620006912","0000531315","2019-06-17 18:58:17.208"
"47434","620006120","0000531315","2019-06-17 18:58:17.205"
"48695","620007398","0000531315","2019-06-17 18:58:16.776"
"43130","620001743","0000009863","2019-06-17 18:58:14.12"
"44362","620003001","0000009863","2019-06-17 18:58:14.116"
"44743","620003388","0000009863","2019-06-17 18:58:14.113"
"44832","620003487","0000009863","2019-06-17 18:58:14.112"
"45896","620004560","0000009863","2019-06-17 18:58:14.106"
"46664","620005343","0000009863","2019-06-17 18:58:14.102"
"46856","620005537","0000009863","2019-06-17 18:58:14.1"
"46950","620005631","0000009863","2019-06-17 18:58:14.099"
"47817","620006512","0000009863","2019-06-17 18:58:14.093"
"44933","620003589","0000009863","2019-06-17 18:58:14.092"
"44653","620003295","0000009863","2019-06-17 18:58:14.091"
"43047","620001658","0000009863","2019-06-17 18:58:14.09"
"48504","620007203","0000009863","2019-06-17 18:58:14.086"
"42194","620000780","0000624345","2019-06-17 18:58:13.658"
"43838","620002468","0000624345","2019-06-17 18:58:13.654"
"44364","620003003","0000624345","2019-06-17 18:58:13.652"
"44453","620003094","0000624345","2019-06-17 18:58:13.651"
"44547","620003191","0000624345","2019-06-17 18:58:13.65"
"45987","620004654","0000624345","2019-06-17 18:58:13.644"
